source	source_node_type	target	target_node_type	edge_type
pubchem.compound:1548943	Compound	ncbigene:6531	Gene	downregulates
pubchem.compound:1548943	Compound	ncbigene:6622	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:5617	Gene	upregulates
pubchem.compound:16362	Compound	ncbigene:148	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:152	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:1813	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:1814	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:3269	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:3350	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:3358	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:3362	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:3363	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:4985	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:3757	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:5741	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:6774	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:6776	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:6777	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:801	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:805	Gene	downregulates
pubchem.compound:16362	Compound	ncbigene:808	Gene	downregulates
pubchem.compound:20279	Compound	ncbigene:142	Gene	upregulates
pubchem.compound:20279	Compound	ncbigene:4860	Gene	upregulates
pubchem.compound:20279	Compound	ncbigene:836	Gene	upregulates
pubchem.compound:20279	Compound	ncbigene:842	Gene	upregulates
pubchem.compound:20279	Compound	ncbigene:100	Gene	downregulates
pubchem.compound:20279	Compound	ncbigene:50484	Gene	downregulates
pubchem.compound:20279	Compound	ncbigene:5422	Gene	downregulates
pubchem.compound:20279	Compound	ncbigene:5426	Gene	downregulates
pubchem.compound:20279	Compound	ncbigene:5427	Gene	downregulates
pubchem.compound:20279	Compound	ncbigene:56655	Gene	downregulates
pubchem.compound:20279	Compound	ncbigene:6240	Gene	downregulates
pubchem.compound:20279	Compound	ncbigene:6241	Gene	downregulates
pubchem.compound:2083	Compound	ncbigene:1080	Gene	upregulates
pubchem.compound:2083	Compound	ncbigene:153	Gene	upregulates
pubchem.compound:2083	Compound	ncbigene:154	Gene	upregulates
pubchem.compound:2083	Compound	ncbigene:2147	Gene	upregulates
pubchem.compound:2083	Compound	ncbigene:3586	Gene	upregulates
pubchem.compound:2083	Compound	ncbigene:4318	Gene	upregulates
pubchem.compound:2083	Compound	ncbigene:9451	Gene	downregulates
pubchem.compound:2132	Compound	ncbigene:2629	Gene	upregulates
pubchem.compound:2132	Compound	ncbigene:6622	Gene	downregulates
pubchem.compound:2162	Compound	ncbigene:3717	Gene	upregulates
pubchem.compound:2162	Compound	ncbigene:5444	Gene	upregulates
pubchem.compound:2162	Compound	ncbigene:5972	Gene	upregulates
pubchem.compound:2162	Compound	ncbigene:6403	Gene	upregulates
pubchem.compound:2162	Compound	ncbigene:1401	Gene	downregulates
pubchem.compound:2162	Compound	ncbigene:3156	Gene	downregulates
pubchem.compound:2162	Compound	ncbigene:55799	Gene	downregulates
