source	target	relation	source_database
drugbank:DB01365	HGNC:283	1	drugbank
drugbank:DB00306	HGNC:4075	1	drugbank
drugbank:DB00421	HGNC:7979	-1	drugbank
drugbank:DB01278	HGNC:9844	1	drugbank
drugbank:DB00795	HGNC:435	-1	drugbank
drugbank:DB13961	HGNC:10585	-1	drugbank
drugbank:DB00246	HGNC:282	-1	drugbank
drugbank:DB01136	HGNC:12663	-1	drugbank
drugbank:DB04855	HGNC:281	-1	drugbank
drugbank:DB11978	HGNC:11119	-1	drugbank
drugbank:DB13781	HGNC:285	1	drugbank
drugbank:DB00651	HGNC:8783	-1	drugbank
drugbank:DB04840	HGNC:11048	1	drugbank
drugbank:DB09167	HGNC:277	-1	drugbank
drugbank:DB00312	HGNC:4586	-1	drugbank
drugbank:DB11571	HGNC:3661	1	drugbank
drugbank:DB01174	HGNC:16767	-1	drugbank
drugbank:DB01159	HGNC:6267	-1	drugbank
drugbank:DB01224	HGNC:277	-1	drugbank
drugbank:DB08901	HGNC:1014	-1	drugbank
drugbank:DB00998	HGNC:5287	1	drugbank
drugbank:DB01032	HGNC:10972	-1	drugbank
drugbank:DB12267	HGNC:7029	-1	drugbank
drugbank:DB00273	HGNC:4582	-1	drugbank
drugbank:DB06153	HGNC:5287	-1	drugbank
drugbank:DB00026	HGNC:5993	-1	drugbank
drugbank:DB00390	HGNC:799	-1	drugbank
drugbank:DB00812	HGNC:9605	-1	drugbank
drugbank:DB00046	HGNC:6091	1	drugbank
drugbank:DB00861	HGNC:9604	-1	drugbank
drugbank:DB12010	HGNC:8033	-1	drugbank
drugbank:DB00555	HGNC:263	-1	drugbank
drugbank:DB02638	HGNC:897	1	drugbank
drugbank:DB00184	HGNC:1959	1	drugbank
drugbank:DB01170	HGNC:11048	1	drugbank
drugbank:DB11275	HGNC:3020	1	drugbank
drugbank:DB00589	HGNC:3026	-1	drugbank
drugbank:DB00396	HGNC:3468	1	drugbank
drugbank:DB01236	HGNC:4084	1	drugbank
drugbank:DB11572	HGNC:3661	1	drugbank
drugbank:DB00203	HGNC:8789	-1	drugbank
drugbank:DB00284	HGNC:7043	-1	drugbank
drugbank:DB00334	HGNC:1952	-1	drugbank
drugbank:DB06148	HGNC:5182	-1	drugbank
drugbank:DB00190	HGNC:2719	-1	drugbank
drugbank:DB01194	HGNC:1375	-1	drugbank
drugbank:DB00321	HGNC:6297	-1	drugbank
drugbank:DB00178	HGNC:2707	-1	drugbank
drugbank:DB01395	HGNC:644	-1	drugbank
drugbank:DB06779	HGNC:775	1	drugbank
drugbank:DB00243	HGNC:6263	-1	drugbank
drugbank:DB00568	HGNC:1393	-1	drugbank
drugbank:DB01037	HGNC:6833	-1	drugbank
drugbank:DB04209	HGNC:2148	-1	drugbank
drugbank:DB00182	HGNC:285	1	drugbank
drugbank:DB00989	HGNC:983	-1	drugbank
drugbank:DB11273	HGNC:5297	-1	drugbank
drugbank:DB12010	HGNC:10020	-1	drugbank
drugbank:DB00603	HGNC:40	-1	drugbank
drugbank:DB00280	HGNC:1952	-1	drugbank
drugbank:DB13158	HGNC:7978	1	drugbank
drugbank:DB00800	HGNC:281	-1	drugbank
drugbank:DB00703	HGNC:1368	-1	drugbank
drugbank:DB01558	HGNC:4084	1	drugbank
drugbank:DB01189	HGNC:4075	1	drugbank
drugbank:DB00398	HGNC:3767	-1	drugbank
drugbank:DB09302	HGNC:20001	-1	drugbank
drugbank:DB06774	HGNC:12716	1	drugbank
drugbank:DB00514	HGNC:8157	1	drugbank
drugbank:DB06603	HGNC:13315	-1	drugbank
drugbank:DB13166	HGNC:2707	-1	drugbank
drugbank:DB00191	HGNC:11050	-1	drugbank
drugbank:DB00159	HGNC:11068	-1	drugbank
drugbank:DB09061	HGNC:5293	1	drugbank
drugbank:DB02546	HGNC:4853	-1	drugbank
drugbank:DB00421	HGNC:15460	-1	drugbank
drugbank:DB00843	HGNC:7795	-1	drugbank
drugbank:DB01215	HGNC:4076	1	drugbank
drugbank:DB00408	HGNC:5293	-1	drugbank
